date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:03	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-90b5%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	C:/xampp/htdocs/CNPM/temp/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:03	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/xampp/htdocs/CNPM/temp/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:04	3306/3306	---M--	200	added ('OK')	image/png	etag:%22vb88%22	https://3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w480-h330-p-k-no-nu/nth.png	C:/xampp/htdocs/CNPM/temp/3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w480-h330-p-k-no-nu/nth.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:04	1306/1306	---M--	200	added ('OK')	image/png	etag:%22vb88%22	https://3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w240-h240/nth.png	C:/xampp/htdocs/CNPM/temp/3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w240-h240/nth.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:05	2813/2813	---M--	200	added ('OK')	image/png	etag:%22v2ffa%22	https://4.bp.blogspot.com/-00O66C-eBQs/W0IcokXSnOI/AAAAAAAAL_k/g4KtDm7SkQsoe7_G0vZ_C_nU0Gf_-kyVQCLcBGAs/w240-h240-p-k-no-nu/safe_image.png	C:/xampp/htdocs/CNPM/temp/4.bp.blogspot.com/-00O66C-eBQs/W0IcokXSnOI/AAAAAAAAL_k/g4KtDm7SkQsoe7_G0vZ_C_nU0Gf_-kyVQCLcBGAs/w240-h240-p-k-no-nu/safe_image.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:05	2687/2687	---M--	200	added ('OK')	image/png	etag:%22vb88%22	https://3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w480-h280/nth.png	C:/xampp/htdocs/CNPM/temp/3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w480-h280/nth.png	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:06	530384/530384	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2014:40:29%20GMT	https://template-nula-cosmcleticok.blogspot.com/img/ring-alt.gif	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/img/ring-alt.24.delayed	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:07	157224/157224	---M--	200	added ('OK')	text/javascript	date:Wed,%2029%20Sep%202021%2008:50:32%20GMT	https://www.blogger.com/static/v1/widgets/852648224-widgets.js	C:/xampp/htdocs/CNPM/temp/www.blogger.com/static/v1/widgets/852648224-widgets.js	(from https://template-nula-cosmcleticok.blogspot.com/)
21:41:08	530420/530420	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2014:40:31%20GMT	https://template-nula-cosmcleticok.blogspot.com/p/owl.video.play.png	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/p/owl.video.play.26.delayed	(from https://template-nula-cosmcleticok.blogspot.com/p/cart.html)
21:41:09	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2004%20Oct%202021%2014:40:33%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=5640853351965315871&zx=5b94a7ff-4787-4f77-b58e-36048c5dcb8d	C:/xampp/htdocs/CNPM/temp/www.blogger.com/dyn-css/authorizationc792.css	(from https://template-nula-cosmcleticok.blogspot.com/p/cart.html)
21:41:10	538065/538065	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/p/checkout.html	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/p/checkout.html	(from https://template-nula-cosmcleticok.blogspot.com/p/cart.html)
21:41:11	53434/53434	---M--	200	added ('OK')	image/jpeg	etag:%22v3eb1%22	https://1.bp.blogspot.com/-t0KMSlQ6roA/X1rScLkKRdI/AAAAAAAAPrA/iiB_mMMd1Wo9rxuaXclZOocJravaMB0IgCLcBGAsYHQ/w640-h384/bg_gioithieu.jpg	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-t0KMSlQ6roA/X1rScLkKRdI/AAAAAAAAPrA/iiB_mMMd1Wo9rxuaXclZOocJravaMB0IgCLcBGAsYHQ/w640-h384/bg_gioithieu.jpg	(from https://template-nula-cosmcleticok.blogspot.com/p/gioi-thieu.html)
21:41:11	74166/74166	---M--	200	added ('OK')	image/jpeg	etag:%22v3eb1%22	https://1.bp.blogspot.com/-t0KMSlQ6roA/X1rScLkKRdI/AAAAAAAAPrA/iiB_mMMd1Wo9rxuaXclZOocJravaMB0IgCLcBGAsYHQ/s902/bg_gioithieu.jpg	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-t0KMSlQ6roA/X1rScLkKRdI/AAAAAAAAPrA/iiB_mMMd1Wo9rxuaXclZOocJravaMB0IgCLcBGAsYHQ/s902/bg_gioithieu.jpg	(from https://template-nula-cosmcleticok.blogspot.com/p/gioi-thieu.html)
21:41:12	17305/17305	---M--	200	added ('OK')	text/javascript	date:Fri,%2001%20Oct%202021%2000:52:28%20GMT	https://www.blogger.com/static/v1/jsbin/186635561-comment_from_post_iframe.js	C:/xampp/htdocs/CNPM/temp/www.blogger.com/static/v1/jsbin/186635561-comment_from_post_iframe.js	(from https://template-nula-cosmcleticok.blogspot.com/p/gioi-thieu.html)
21:41:12	32342/32342	---M--	200	added ('OK')	image/jpeg	etag:%22v3e6d%22	https://1.bp.blogspot.com/-ZqUToAtkQ_s/X1g3Nz7N6vI/AAAAAAAAPms/VYHQd_I-x9wxs4U6QRaGxSdgCJfHUO2nACLcBGAsYHQ/s16000/12.jpg	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-ZqUToAtkQ_s/X1g3Nz7N6vI/AAAAAAAAPms/VYHQd_I-x9wxs4U6QRaGxSdgCJfHUO2nACLcBGAsYHQ/s16000/12.jpg	(from https://template-nula-cosmcleticok.blogspot.com/search/label/san-pham)
21:41:13	2417/2417	---M--	200	added ('OK')	image/png	etag:%22vb88%22	https://3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w348-h232-p-k-no-nu/nth.png	C:/xampp/htdocs/CNPM/temp/3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/w348-h232-p-k-no-nu/nth.png	(from https://template-nula-cosmcleticok.blogspot.com/search/label/san-pham)
21:41:13	539023/539023	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2001:59:27%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/label/owl.video.play.png	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/label/owl.video.play.html	(from https://template-nula-cosmcleticok.blogspot.com/search/label/san-pham)
21:41:14	530447/530447	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2014:40:38%20GMT	https://template-nula-cosmcleticok.blogspot.com/search/img/ring-alt.gif	C:/xampp/htdocs/CNPM/temp/template-nula-cosmcleticok.blogspot.com/search/img/ring-alt.2f.delayed	(from https://template-nula-cosmcleticok.blogspot.com/search/label/san-pham)
21:41:20	18005/18005	---M--	200	added ('OK')	image/jpeg	etag:%22v3e6a%22	https://1.bp.blogspot.com/-7x0dC9wmucg/X1g21FpRYGI/AAAAAAAAPmk/x1Cd1fGJIhY3YwJM0Q8nVeScujgOqOibgCLcBGAsYHQ/s16000/l.jpg	C:/xampp/htdocs/CNPM/temp/1.bp.blogspot.com/-7x0dC9wmucg/X1g21FpRYGI/AAAAAAAAPmk/x1Cd1fGJIhY3YwJM0Q8nVeScujgOqOibgCLcBGAsYHQ/s16000/l.jpg	(from https://template-nula-cosmcleticok.blogspot.com/search/label/my-pham-nu)
